# Fecha: 2026-03-04 (America/Lima)
# Commit auditado: fde837c
# Alcance: matriz de cobertura RF/CU ↔ BD ↔ Código con evidencias y gaps
ID RF/CU,Estado BD,Estado Código,Tablas/columns involucradas,RPC/Triggers involucrados,RLS requerido,Evidencias,Gap exacto y recomendación concreta
"RF-TEN-001-A","⚠ parcial","⚠ parcial","tenants.industry_type_id; cat_industry_types","fn_bootstrap_tenant","Sí (tenant + rol onboarding)","indi-info/SUBS-01-REQ-Gestion-Actores.md:85-93 | indi-info/SUBS-05-Base-De-Datos-BD-supabase.md:131-144 | src/js/useOnboardingFlow.js:629","No existe motor de plantilla por industria; agregar tabla/config de template por industria y aplicarla en fn_bootstrap_tenant."
"RF-TEN-001-B","⚠ parcial","⚠ parcial","tenants.tax_id; tenants.status_financial_id; profiles.tenant_id","fn_bootstrap_tenant; tr_audit_profiles","Sí (tenant + actor)","indi-info/SUBS-01-REQ-Gestion-Actores.md:96-110 | server/routes/onboarding.js:98-192 | src/hooks/useAuthFlow.js:112","Si API fiscal falla no hay alta provisional (doc lo exige); agregar flujo provisional FIN-PENDING y cola de verificación."
"RF-TEN-002","✅ completo","❌ faltante","sedes.*; user_roles_sedes.*; roles.*","tr_audit_sedes; tr_audit_urs","Sí (tenant + sede + rol)","indi-info/SUBS-01-REQ-Gestion-Actores.md:112-132 | indi-info/SUBS-05-Base-De-Datos-BD-supabase.md:148-212","Modelo existe pero no hay UI/API para gestión multi-sede; implementar endpoints CRUD sedes con permisos y auditoría."
"RF-TEN-003","⚠ parcial","❌ faltante","cat_tenant_statuses; tenants.status_financial_id; subscription_contracts.status_id/read_only_at","tr_audit_tenants; tr_audit_sub_contracts","Sí (tenant + estado)","indi-info/SUBS-01-REQ-Gestion-Actores.md:134-159 | indi-info/SUBS-05-Base-De-Datos-BD-supabase.md:29-40,131-144,325-343","FSM existe en BD pero no en lógica de negocio; crear state machine backend y bloqueo real de escrituras en READ-ONLY/SUSPENDED."
"RF-IAM-001","⚠ parcial","❌ faltante","roles; role_permissions; user_roles_sedes; cat_permissions","fn_has_permission; fn_is_tenant_admin; tr_validate_role_permissions","Sí (tenant + rol + permiso)","indi-info/SUBS-01-REQ-Gestion-Actores.md:162-179 | indi-info/SUBS-05-Base-De-Datos-BD-supabase.md:179-208,543-567,992-1052 | src/hooks/useRiskGate.js:82","RBAC modelado pero sin administración ni enforcement app; implementar endpoints roles/permisos y aplicar check de permiso en acciones críticas."
"RF-IAM-002","✅ completo","⚠ parcial","profiles.pin_*; terminals; sessions; auth_events","evaluateRiskEngine; insertAuthEvent; insertAuditLog","Sí (tenant + usuario + terminal)","indi-info/SUBS-01-REQ-Gestion-Actores.md:181-195 | server/routes/auth.js:382-614 | server/security/risk-engine.js:26-42","Existe PIN y bloqueo; falta canal QR y flujo de cambio explícito por QR."
"RF-IAM-003","⚠ parcial","❌ faltante","roles/role_permissions (permisos override)","(sin RPC/endpoint dedicado)","Sí (tenant + supervisor)","indi-info/SUBS-01-REQ-Gestion-Actores.md:197-210 | indi-info/SUBS-03-RN-Reglas-Riesgos.md:34-41 | server/routes/auth.js:66-82","No existe override transaccional con doble actor; crear endpoint de aprobación supervisor y evento doble en auditoría."
"RF-IAM-004","⚠ parcial","⚠ parcial","devices; sessions; auth_events","evaluateRiskEngine; createSessionRecord","Sí (tenant + usuario)","indi-info/SUBS-01-REQ-Gestion-Actores.md:212-223 | server/security/risk-engine.js:44-73,562-573 | server/routes/audit.js:116-120","Registro de sesiones/dispositivos sí; falta expulsión remota y control de sesiones simultáneas por política de plan."
"RF-SUB-001","⚠ parcial","❌ faltante","tenants.max_licenses; entitlements.max_licenses; sessions","(sin lógica de enforce)","Sí (tenant + plan)","indi-info/SUBS-01-REQ-Gestion-Actores.md:226-239 | indi-info/SUBS-05-Base-De-Datos-BD-supabase.md:131-144,348-356 | server/routes/auth.js:382-614","No se bloquea login por límite contratado; agregar verificación previa en login web/terminal y opción de cierre remoto autorizado."
"RF-SUB-002","⚠ parcial","❌ faltante","subscription_changes; payment_transactions; entitlements","(sin orquestador de pagos)","Sí (tenant + billing role)","indi-info/SUBS-01-REQ-Gestion-Actores.md:241-252 | indi-info/SUBS-04-CU-Pagos-Facturacion.md:1-82 | indi-info/SUBS-05-Base-De-Datos-BD-supabase.md:359-462","No hay cálculo prorrateo ni confirmación de cobro; implementar billing orchestrator y FSM de cambios."
