ID;Requerimiento / CU;Tablas;Campos clave
RF-01 / CU-01;Login + sesión + último acceso;usuarios_sistema, roles_sistema, voluntarios;usuarios_sistema.hash_contrasena, usuarios_sistema.activo, usuarios_sistema.ultimo_acceso, usuarios_sistema.id_rol_sistema, usuarios_sistema.id_voluntario
RF-02;Gestión usuarios;usuarios_sistema;activo, is_deleted, deleted_at, deleted_by, created_at/updated_at
RF-03;RBAC + sensible;roles_sistema, (control app), fichas_medicas, ficha_sensible_voluntario;roles_sistema.nombre_rol, recursos sensibles (tablas)
RF-04 / CU-33;Log acceso sensible;accesos_sensibles_log;recurso, registro_id, motivo, user_id, event_at, ip, user_agent
RF-05 / CU-32;AuditLog cambios;audit_log (+ triggers);table_name, record_pk, action, before_json, after_json, user_id, event_at
RF-06;Soft delete;Muchas (core + transaccionales);is_deleted, deleted_at, deleted_by (p.ej. voluntarios, proyectos, tareas, actividades, transacciones_*, etc.)
RF-07 / CU-02;Catálogos anti-caos;estados_*, tipos_*, canales_notificacion, tipo_transaccion_*;nombre_estado, nombre_tipo, nombre_canal
RF-08 / CU-03/04;Voluntarios;voluntarios, estados_voluntario;dni, uuid_credencial, id_estado, ruta_foto, auditoría/softdelete
RF-09 / CU-05;Roles institucionales;roles, asignaciones_rol;roles.id_rol, asignaciones_rol.id_voluntario, asignaciones_rol.id_rol, activo
RF-10;Habilidades;habilidades, voluntario_habilidades;voluntario_habilidades.nivel, PK compuesta
RF-11;Supervisiones;supervisiones;id_supervisor, id_voluntario, fecha_inicio/fin, ck_supervision_noauto
RF-12;Documentos voluntario;documentos_voluntario, tipos_documento;ruta_archivo, verificado, verificado_por, verificado_en, id_tipo_documento
RF-13 / CU-06;Beneficiarios;beneficiarios;nombre, apellido, dni(opcional), auditoría/softdelete
RF-14;Perfiles;perfil_nino, perfil_adulto_mayor, perfil_coordinador;id_beneficiario/id_voluntario + campos específicos
RF-15 / CU-07;Fichas médicas;fichas_medicas, accesos_sensibles_log;diagnostico, alergias, medicacion, observaciones
RF-16;Logros;logros_beneficiario;descripcion, fecha_logro
RF-17 / CU-09;Proyectos;proyectos, areas, estados_proyecto;id_area, id_estado_proyecto, presupuesto, fecha_inicio/fin
RF-18 / CU-10;Asignación a proyecto;asignaciones_proyecto;id_proyecto, id_voluntario, rol_en_proyecto, activo
RF-19 / CU-11;Recursos proyecto;recursos_proyecto;tipo_recurso, ruta_archivo, descripcion
RF-20 / CU-12;Tareas;tareas, estados_tarea;id_proyecto, id_estado_tarea, prioridad, responsable_id_voluntario
RF-21 / CU-13;Actividades;actividades, estados_actividad, ubicaciones;id_tarea, id_estado_actividad, fecha_inicio/fin, id_ubicacion, meta
RF-22 / CU-14;Asignaciones actividad;asignaciones_actividad;id_actividad, id_voluntario, rol_en_actividad, activo, uq_asigact
RF-23 / CU-15;Evidencias actividad;evidencias_actividad, tipos_evidencia;id_actividad, id_voluntario, id_tipo_evidencia, ruta_archivo, hash_archivo
RF-24 / CU-16;Asistencias;asistencias;id_voluntario, id_proyecto, id_actividad, hora_entrada/salida, fecha
RF-25 / CU-17/18;Horas + aprobación;horas_actividad, estados_aprobacion;id_actividad, id_voluntario, fecha, hora_inicio/fin, minutos, id_estado_aprobacion, aprobado_por/en
RF-27 / CU-19/20;Aprobaciones genéricas;aprobaciones, estados_aprobacion;entidad_tipo, entidad_id, id_estado_aprobacion, comentario, índice ix_aprobaciones_busqueda
RF-28 / CU-21;Solicitud admisión;solicitudes_admision_voluntario, estados_admision;dni, nombres, apellidos, id_estado_admision, fecha_solicitud
RF-29 / CU-22;Docs admisión;documentos_admision, tipos_documento;ruta_archivo, verificado, verificado_por/en
RF-30 / CU-23;Entrevistas admisión;entrevistas_admision;fecha_entrevista, evaluador_id_voluntario, resultado, puntaje
RF-31 / CU-24;Onboarding;onboarding_voluntario, onboarding_paso;fecha_inicio/fin, estado, orden, completado, evidencia_ruta
RF-34/35/36 / CU-25/26;Inventario;items, ubicaciones, transacciones_inventario, tipo_transaccion_inventario;cantidad, id_ubicacion_origen/destino, id_tipo_transaccion, constraint ck_ti_ubicaciondiff
RF-37/38/39/40 / CU-27/28;Finanzas;cuentas_financieras, categorias_financieras, transacciones_financieras, comprobantes_financieros, tipo_transaccion_financiera;monto, fecha_transaccion, id_cuenta, id_categoria, id_tipo_transaccion, ruta_archivo
RF-42/43/44 / CU-29/30;Cursos y certificados;cursos, inscripciones_curso, tipos_certificado, certificados, area_tipos_certificado;id_curso, estado, id_tipo_certificado, ruta_archivo
RF-45/46/47 / CU-31;Notificaciones;plantillas_notificacion, historial_notificaciones, canales_notificacion;canal_preferido, cuerpo_html/texto, estado, detalle, id_canal
RF-48 / CU-34;Fundraising;donors, fundraising_campaigns, donations, donor_pledges, donor_interactions;campos de cada entidad + donations.id_transaccion_financiera
RF-49 / CU-35;Impacto;ods_goals, project_ods, kpi_indicators, kpi_targets, kpi_measurements;ods_number, target_value, value, evidence_url, id_actividad
RF-50 / CU-36;Gamificación;gamification_rules, volunteer_points_ledger, badges, volunteer_badges, kudos;triggers (horas aprobadas/evidencia) + ledger
RF-51 / CU-37;Offline/sync;user_devices, sync_queue, entity_versions;payload jsonb, status, error_detail, version
RF-52;Matching/prefs;volunteer_preferences, activity_requirements;preferred_areas/skills, availability, max_distance_km, required_skills, min_volunteers
